Player,Team,Salary,Color,Player,Team
R Tewatia,Rajasthan Royals,"$430,000","430,000",R Tewatia,Rajasthan Royals
S Dube,Rajasthan Royals,"$628,600","628,600",S Dube,Rajasthan Royals
S Gopal,Rajasthan Royals,"$31,250","31,250",S Gopal,Rajasthan Royals
SV Samson,Rajasthan Royals,"$1,250,000","1,250,000",SV Samson,Rajasthan Royals
YBK Jaiswal,Rajasthan Royals,"$342,900","342,900",YBK Jaiswal,Rajasthan Royals
A Zampa,Royal Challengers Bangalore,"$45,000","45,000",A Zampa,Royal Challengers Bangalore
AB de Villiers,Royal Challengers Bangalore,"$1,718,750","1,718,750",AB de Villiers,Royal Challengers Bangalore
D Padikkal,Royal Challengers Bangalore,"$28,600","28,600",D Padikkal,Royal Challengers Bangalore
DT Christian,Royal Challengers Bangalore,"$234,380","234,380",DT Christian,Royal Challengers Bangalore
GJ Maxwell,Royal Challengers Bangalore,"$2,035,700","2,035,700",GJ Maxwell,Royal Challengers Bangalore
HV Patel,Royal Challengers Bangalore,"$31,250","31,250",HV Patel,Royal Challengers Bangalore
KA Jamieson,Royal Challengers Bangalore,"$2,142,900","2,142,900",KA Jamieson,Royal Challengers Bangalore
KS Bharat,Royal Challengers Bangalore,"$16,667","16,667",KS Bharat,Royal Challengers Bangalore
KW Richardson,Royal Challengers Bangalore,"$571,400","571,400",KW Richardson,Royal Challengers Bangalore
Mohammed Siraj,Royal Challengers Bangalore,"$406,250","406,250",Mohammed Siraj,Royal Challengers Bangalore
NA Saini,Royal Challengers Bangalore,"$468,750","468,750",NA Saini,Royal Challengers Bangalore
PVD Chameera,Royal Challengers Bangalore,"$78,130","78,130",PVD Chameera,Royal Challengers Bangalore
RM Patidar,Royal Challengers Bangalore,"$28,600","28,600",RM Patidar,Royal Challengers Bangalore
Sachin Baby,Royal Challengers Bangalore,"$28,600","28,600",Sachin Baby,Royal Challengers Bangalore
Shahbaz Ahmed,Royal Challengers Bangalore,"$28,600","28,600",Shahbaz Ahmed,Royal Challengers Bangalore
V Kohli,Royal Challengers Bangalore,"$2,656,250","2,656,250",V Kohli,Royal Challengers Bangalore
Washington Sundar,Royal Challengers Bangalore,"$500,000","500,000",Washington Sundar,Royal Challengers Bangalore
